a,eɪ
revenge,rɪvendʒ
REVENUE,ˈrevənjuː
REVERBERATE,rɪˈvɜː(r)bəreɪt
REVERSE,rɪˈvɜː(r)s
REVIEW,rɪˈvjuː
REVISE,rɪˈvaɪz
REVISION,rɪˈvɪʒ(ə)n
REVIVE,rɪˈvaɪv
REVOKE,rɪˈvəʊk
REVOLT,rɪˈvəʊlt
revulsion,rɪvʌlʃən
REWARD,rɪˈwɔː(r)d
rhythm,rɪðəm
RIAL,@RIAL
RICH,rɪtʃ
Richard,rɪtʃəd
Richards,rɪtʃədz
RID,rɪd
RIDE,raɪd
ridiculous,rɪdɪkjʊləs
RIDING,ˈraɪdɪŋ
RIG,rɪɡ
RIGGING,ˈrɪɡɪŋ
RIGHT,raɪt
RING,rɪŋ
RIOT,ˈraɪət
RIPPLE,ˈrɪp(ə)l
RISE,raɪz
RISEN,ˈrɪz(ə)n
RISING,ˈraɪzɪŋ
RISK,rɪsk
RISKY,ˈrɪski
RIVAL,ˈraɪv(ə)l
river,rɪvə(r)
RIYAL,@RIYAL
ROAD,rəʊd
robber,@robber
ROCK,rɒk
rocks,rɒks
RODEO,rəʊˈdeɪəʊ
Roial,@Roial
ROIL,@ROIL
ROLE,rəʊl
ROLL,rəʊl
rolled,rəʊld
ROLLER,ˈrəʊlə(r)
ROLLING,ˈrəʊlɪŋ
ROLLOVER,ˈrəʊlˌəʊvə(r)
roof,ruːf
roofing,ruːfɪŋ
ROOFTOP,ˈruːfˌtɒp
ROOM,ruːm
rooms,rʊmz
ROOT,ruːt
rooted,ruːtɪd
ROSE,rəʊz
ROTATE,rəʊˈteɪt
rotten,rɒtən
ROUND,raʊnd
roused,@roused
ROUTE,ruːt
ROYALTY,ˈrɔɪəlti
RUBLE,@RUBLE
RUCTIONS,ˈrʌkʃ(ə)nz
RULE,ruːl
RULED,ruːld
RULING,ˈruːlɪŋ
RUMBLING,ˈrʌmblɪŋ
RUMOR,ˈruːmə(r)
RUN,rʌn
RUNNING,ˈrʌnɪŋ
RUPEE,ˌruːˈpiː
RUPIAH,@RUPIAH
RUSH,rʌʃ
RUSHED,rʌʃt
rush-hour traffic,ˈrʌʃˌaʊə
RUSSIAN,ˈrʌʃ(ə)n
rusticating,ˈrʌstɪˌkeɪtɪŋ
ryte,@ryte
SACK,sæk
sacred,seɪkrɪd
SACRIFICE,ˈsækrɪfaɪs
sadden,sædən
SAFE,seɪf
SAID,sed
saints,seɪnts
sake,seɪk
SALARY,ˈsæləri
SALE,seɪl
SALESMAN,ˈseɪlzmən
SALESPERSON,ˈseɪlzˌpɜː(r)s(ə)n
sam,sæm
same,seɪm
SAMPLING,sɑ:mplɪŋ
san andreas,sæn
san angelo,sæn
san antonio,sæn
SANCTION,ˈsæŋkʃ(ə)n
sane,seɪn
sanity,@sanity
SAP,sæp
Sarene,@Sarene
SAT,ˌes eɪ ˈtiː
satan,seɪtən
SATISFIED,ˈsætɪsfaɪd
SATISFY,ˈsætɪsfaɪ
SAUDI,ˈsaʊdi
SAVANT,ˈsæv(ə)nt
SAVE,seɪv
SAVER,ˈseɪvə(r)
SAVING,ˈseɪvɪŋ
savory,seɪvəri
SAW,sɔː
SAY,seɪ
SAYING,ˈseɪɪŋ
says,seɪz
SCALE,skeɪl
SCANDAL,ˈskænd(ə)l
SCANNER,ˈskænə(r)
SCAR,skɑː(r)
SCARED,skeə(r)d
SCENARIO,səˈnɑːriəʊ
scend,sɛnd
SCHEDULE,ˈʃedjuːl
SCHEDULED,ˈʃedjuːld
SCHEME,skiːm
SCHOOL,skuːl
SCIENTIST,ˈsaɪəntɪst
scold,skoʊld
SCOOP,skuːp
scorch,skɔː(r)tʃ
SCORE,skɔː(r)
SCOREBOARD,ˈskɔː(r)ˌbɔː(r)d
Scots,skɒts
scowl,skaʊl
scrabble,skræbəl
SCRAMBLE,ˈskræmb(ə)l
SCRAP,skræp
scrape,skreɪp
scraps,skræps
scream,skriːm
screamed,skri:md
screaming,skri:mɪŋ
screen,skriːn
SCREENING,ˈskriːnɪŋ
SCRUTINIZE,ˈskruːtɪnaɪz
SCUFFLE,ˈskʌf(ə)l
SCULPTURE,ˈskʌlptʃə(r)
scuttle,skʌtəl
scythe,saɪð
sea,siː
SEAL,siːl
SEARCHING,ˈsɜː(r)tʃɪŋ
SEAT,siːt
SEATING,ˈsiːtɪŋ
second,sekənd
seconds,sekəndz
SECTOR,ˈsektə(r)
SECURE,sɪˈkjʊə(r)
SECURITIES,sɪˈkjʊərətiz
SEDAN,sɪˈdæn
SEE,siː
SEED,siːd
SEEING,ˈsiːɪŋ
SEEK,siːk
SEEKER,ˈsiːkə(r)
SEEKING,siːkɪŋ
SEEM,siːm
seemed,si:md
SEEN,siːn
SEGMENT,ˈseɡmənt
SEIZE,siːz
SELECT,sɪˈlekt
self,self
self-conscious,ˈsɛlfˈkɑnʃəs
SELL,sel
SELLER,ˈselə(r)
SELLING,ˈselɪŋ
SEMICONDUCTOR,ˌsemikənˈdʌktə(r)
semidarkness,ˌsɛmɪˈdɑrknəs
SEMINAR,ˈsemɪˌnɑː(r)
SEND,send
SENIOR,ˈsiːniə(r)
SENSE,sens
SENSOR,ˈsensə(r)
sent,sent
SENTENCE,ˈsentəns
SENTIMENT,ˈsentɪmənt
SEPARATED,ˈsepəˌreɪtɪd
SEPARATION,ˌsepəˈreɪʃ(ə)n
SEPARATIST,ˈsep(ə)rətɪst
SEQUENCE,ˈsiːkwəns
SEQUENCING,ˈsiːkwənsɪŋ
serious,sɪəriəs
SERVANT,ˈsɜː(r)v(ə)nt
SERVE,sɜː(r)v
SERVER,ˈsɜː(r)və(r)
SERVICE,ˈsɜː(r)vɪs
SERVICES,ˈsɜː(r)vɪsɪz
SERVING,ˈsɜː(r)vɪŋ
SESSION,ˈseʃ(ə)n
SET,set
SETBACK,ˈsetˌbæk
SETTING,ˈsetɪŋ
SETTLE,ˈset(ə)l
SETTLED,ˈset(ə)ld
SETTLEMENT,ˈset(ə)lmənt
SETTLING,setəlɪŋ
seventies,ˈsɛvəntɪz
SEVER,ˈsevə(r)
several,sevrəl
severance,sevərəns
shadow,ʃædəʊ
shaft,ʃɑːft
SHAKE,ʃeɪk
SHAKEN,ˈʃeɪkən
shaking,ʃeɪkɪŋ
shaky,ʃeɪki
SHALL,ʃæl
shallows,ʃæloʊz
shape,ʃeɪp
SHAPED,ʃeɪpt
SHARE,ʃeə(r)
SHAREHOLDER,ˈʃeə(r)ˌhəʊldə(r)
SHAREHOLDING,@SHAREHOLDING
SHARP,ʃɑː(r)p
shattered,ʃætə(r)d
shave,ʃeɪv
SHAVER,ˈʃeɪvə(r)
she,ʃi:
sheathing,ˈʃiːðɪŋ
SHED,ʃed
sheer,ʃɪə(r)
SHEET,ʃiːt
SHELL,ʃel
SHELTER,ˈʃeltə(r)
SHELVE,ʃelv
SHIELD,ʃiːld
SHIFT,ʃɪft
SHIFTING,ˈʃɪftɪŋ
SHILLING,ˈʃɪlɪŋ
shining,ʃaɪnɪŋ
shiny,ʃaɪni
SHIP,ʃɪp
SHIPMENT,ˈʃɪpmənt
SHIPPING,ˈʃɪpɪŋ
SHIPWRECK,ˈʃɪpˌrek
SHIRT,ʃɜː(r)t
shiver,ʃɪvə(r)
SHOCK,ʃɒk
SHOCKED,ʃɒkt
SHOCKING,ˈʃɒkɪŋ
SHOE,ʃuː
shoes,ʃu:z
shone,ʃɒn
shook,ʃʊk
shoot,ʃuːt
SHOOTING,ˈʃuːtɪŋ
SHOP,ʃɒp
SHOPPER,ˈʃɒpə(r)
SHOPPING,ˈʃɒpɪŋ
SHORE,ʃɔː(r)
SHORT,ʃɔː(r)t
SHORTAGE,ˈʃɔː(r)tɪdʒ
SHORTCOMING,ˈʃɔː(r)tˌkʌmɪŋ
shortcut,ʃɔrtkʌt
SHORTFALL,ˈʃɔː(r)tˌfɔːl
SHORTS,ʃɔː(r)ts
SHOT,ʃɒt
SHOULD,ʃʊd
shoulder,ʃoʊldə(r)
SHOUT,ʃaʊt
shouted,ʃaʊtɪd
shouting,ˈʃaʊtɪŋ
shove,ʃʌv
shoving,ˈʃʌvɪŋ
SHOW,ʃəʊ
SHOWER,ˈʃaʊə(r)
SHOWING,ˈʃəʊɪŋ
shriek,ʃriːk
SHRINK,ʃrɪŋk
shudder,ʃʌdə(r)
Shuden,@Shuden
SHUFFLE,ˈʃʌf(ə)l
SHUN,ʃʌn
SHUT,ʃʌt
SHUTTERED,ˈʃʌtə(r)d
sibling,sɪblɪŋ
sick,sɪk
SIDE,saɪd
SIDED,saɪdɪd
SIDELINE,ˈsaɪdˌlaɪn
SIDESTEP,ˈsaɪdˌstep
sidle,saɪdəl
sigh,saɪ
SIGHT,saɪt
sightless,saɪtləs
SIGN,saɪn
SIGNAL,ˈsɪɡn(ə)l
SIGNALED,ˈsɪɡn(ə)ld
SIGNALING,ˈsɪɡn(ə)lɪŋ
SIGNING,ˈsaɪnɪŋ
SIGNPOST,ˈsaɪnˌpəʊst
sike,saɪk
SILENCE,ˈsaɪləns
silenced,ˈsaɪlənst
silent,saɪlənt
silly,sɪli
similar,sɪmɪlə(r)
SIMMER,ˈsɪmə(r)
SIMPLIFY,ˈsɪmplɪfaɪ
simply,sɪmplɪ
SIMULATION,ˌsɪmjʊˈleɪʃ(ə)n
Since,sɪns
sincere,sɪnsɪə(r)
SINGLE,ˈsɪŋɡ(ə)l
SINK,sɪŋk
SINKING,ˈsɪŋkɪŋ
SIPHON,ˈsaɪf(ə)n
sir,sɜ:
sister,sɪstə
sisters,sɪstəz
SIT,sɪt
SITE,saɪt
SITTING,ˈsɪtɪŋ
SITUATION,ˌsɪtʃuˈeɪʃ(ə)n
SIZE,saɪz
SKEPTIC,ˈskeptɪk
SKEW,skjuː
SKEWED,skjuːd
SKI,skiː
SKID,skɪd
SKILL,skɪl
SKILLED,skɪld
skin,skɪn
SKIP,skɪp
sky,skaɪ
slamming,ˈslæmɪŋ
SLANTED,ˈslɑːntɪd
SLASH,slæʃ
sleek,sliːk
sleep,sliːp
sleeping,sliːpɪŋ
slept,slept
SLEW,sluː
SLICE,slaɪs
SLID,slɪd
SLIDE,slaɪd
slightly,slaɪtlɪ
SLIM,slɪm
SLIMMING,ˈslɪmɪŋ
SLIP,slɪp
SLOW,sləʊ
slowly,sləʊlɪ
SLUMP,slʌmp
SMALL,smɔːl
smaller,smɔ:lə
smart,smɑː(r)t
smashed,smæʃt
smell,smel
smells,smelz
SMELTER,ˈsmeltə(r)
smile,smaɪl
smiled,smaɪld
smoke,sməʊk
SMOLDER,ˈsməʊldə(r)
SMOOTH,smuːð
smote,@smote
SMOTHER,ˈsmʌðə(r)
SMUGGLER,ˈsmʌɡ(ə)lə(r)
SMUGGLING,ˈsmʌɡ(ə)lɪŋ
SNACK,snæk
SNAP,snæp
snapped,snæpt
snarled,@snarled
snatch,snætʃ
SNEAK,sniːk
sneer,snɪə(r)
SNIFF,snɪf
snort,snɔː(r)t
snowstorm,snoʊstɔː(r)m
snuffle,snʌfəl
so,səʊ
soaked,soʊkt
SOAR,sɔː(r)
social,soʊʃəl
SOCIETY,səˈsaɪəti
sofa,soʊfə
SOFT,sɒft
SOFTEN,ˈsɒf(ə)n
soil,sɔɪl
solarium,soʊleəriəm
SOLDIER,ˈsəʊldʒə(r)
solemn,sɒləm
SOLIDIFY,səˈlɪdɪfaɪ
solitude,sɒlɪtjuːd
SOLUTION,səˈluːʃ(ə)n
SOLVE,sɒlv
some,sʌm
somehow,sʌmhaʊ
someone,sʌmwʌn
something,sʌmθɪŋ
sometimes,sʌmtaɪmz
somewhat,sʌmhwɒt
somewhere,sʌmweə
son,sʌn
SONGWRITER,ˈsɒŋˌraɪtə(r)
soon,suːn
SOONER,ˈsuːnə(r)
soothing,ˈsuːðɪŋ
SOPHISTICATED,səˈfɪstɪˌkeɪtɪd
sore,sɔ:
sorrow,sɒroʊ
sorry,sɒrɪ
SORT,sɔː(r)t
soul,soʊl
soul-baring,ˈsəʊlˌbɛərɪŋ
SOUND,saʊnd
SOUNDING,ˈsaʊndɪŋ
sounds,saʊndz
SOUR,ˈsaʊə(r)
SOURCE,sɔː(r)s
SOVEREIGN,ˈsɒvrɪn
SOW,səʊ
SOYBEAN,ˈsɔɪˌbiːn
SPACE,speɪs
spacious,speɪʃəs
SPAN,spæn
SPANIARD,ˈspænjə(r)d
spanish,spænɪʃ
spare,speə(r)
SPARK,spɑː(r)k
SPASM,ˈspæz(ə)m
SPAT,spæt
SPAWN,spɔːn
SPEAK,spiːk
speaker,spiːkə(r)
SPEAKING,spiːkɪŋ
SPEARHEAD,ˈspɪə(r)ˌhed
SPECIALIST,ˈspeʃəlɪst
SPECIALIZE,ˈspeʃəlaɪz
specific,spə'sɪfɪk
SPECIFY,ˈspesɪfaɪ
SPECULATE,ˈspekjʊleɪt
SPECULATOR,@SPECULATOR
SPEECH,spiːtʃ
SPEED,spiːd
SPELL,spel
SPELLING,ˈspelɪŋ
SPEND,spend
SPENDING,ˈspendɪŋ
SPENT,spent
spew,spjuː
sphere,sfɪə(r)
SPIKE,spaɪk
SPILL,spɪl
SPIN,spɪn
spindly,spɪndli
SPINOFF,@SPINOFF
SPIRIT,ˈspɪrɪt
splash,splæʃ
SPLIT,splɪt
SPOKE,spəʊk
SPOKEN,ˈspəʊkən
SPOKESMAN,ˈspəʊksmən
SPONSOR,ˈspɒnsə(r)
spontaneous,spɒnteɪniəs
SPOOF,spuːf
spoon,spuːn
spoons,@spoons
SPORT,spɔː(r)t
SPOT,spɒt
SPOTLIGHT,ˈspɒtˌlaɪt
sprang,@sprang
SPRAWLING,ˈsprɔːlɪŋ
spray,spreɪ
SPREAD,spred
SPUN,spʌn
SPUR,spɜː(r)
SPURN,spɜː(r)n
SPUTTER,ˈspʌtə(r)
SPY,spaɪ
square,skweə(r)
SQUARED,skweə(r)d
SQUEEZE,skwiːz
STABILIZE,ˈsteɪbəlaɪz
STACK,stæk
STADIUM,ˈsteɪdiəm
staff,stɑ:f
STAFFER,ˈstɑːfə(r)
STAFFING,ˈstɑːfɪŋ
STAGE,steɪdʒ
STAGGERED,ˈstæɡə(r)d
staggering,stægərɪŋ
STAGNATE,stæɡˈneɪt
stairs,stɛəz
STAKE,steɪk
STAKEHOLDER,ˈsteɪkˌhəʊldə(r)
STALEMATE,ˈsteɪlˌmeɪt
STALL,stɔːl
STAMP,stæmp
stamped,stæmpt
STANCE,stɑːns
STAND,stænd
STANDARD,ˈstændə(r)d
STANDARDIZE,ˈstændə(r)daɪz
STANDING,ˈstændɪŋ
STANDOUT,ˈstændaʊt
STAPLE,ˈsteɪp(ə)l
STAR,stɑː(r)
stare,steə(r)
stared,steəd
staring,steərɪŋ
START,stɑː(r)t
started,stɑ:tɪd
startled,ˈstɑːtəld
starts,stɑ:ts
STARTUP,stɑ:t'ʌp
starvation,stɑː(r)veɪʃən
STATE,steɪt
STATEMENT,ˈsteɪtmənt
STATION,ˈsteɪʃ(ə)n
STATISTIC,stəˈtɪstɪk
STATUTE,ˈstætʃuːt
STAUNCH,stɔːntʃ
STAVE,steɪv
STAY,steɪ
steady,stedi
steal,stiːl
steel,stiːl
STEEP,stiːp
STEER,stɪə(r)
STEERING,ˈstɪərɪŋ
STEM,stem
stench,stentʃ
STEP,step
Stephanie,@Stephanie
stepped,stɛpt
sternum,stɜː(r)nəm
STICK,stɪk
sticky,stɪki
STIFF,stɪf
still,stɪl
STIMULATING,ˈstɪmjʊˌleɪtɪŋ
sting,stɪŋ
stink,stɪŋk
STIPULATE,ˈstɪpjʊleɪt
STIRRING,ˈstɜːrɪŋ
stitch,stɪtʃ
STOCK,stɒk
STOCKHOLDER,ˈstɒkˌhəʊldə(r)
STOCKPILE,ˈstɒkˌpaɪl
STOKE,stəʊk
STOKED,stəʊkt
stolen,stoʊlən
STONE,stəʊn
stood,stʊd
STOP,stɒp
STOPPAGE,ˈstɒpɪdʒ
stopped,stɒpt
STORE,stɔː(r)
STORIED,ˈstɔːrid
STORM,stɔː(r)m
STORY,ˈstɔːri
straight,streɪt
straightforward,streɪtfɔː(r)wəʳd
STRAIN,streɪn
STRAND,strænd
strange,streɪndʒ
strangely,streɪndʒlɪ
STRANGER,ˈstreɪndʒə(r)
STRANGLING,@STRANGLING
STRAPPED,stræpt
STRATEGIST,ˈstrætədʒɪst
STRATEGY,ˈstrætədʒi
STRAW,strɔː
stray,streɪ
STREAM,striːm
STREAMLINE,ˈstriːmˌlaɪn
STREET,striːt
strength,streŋθ
STRENGTHEN,ˈstreŋθ(ə)n
STRESS,stres
STRESSED,strest
STRETCH,stretʃ
STRETCHED,stretʃt
STRICT,strɪkt
strictly,strɪktli
STRICTURE,ˈstrɪktʃə(r)
STRIDES,straɪdz
STRIKE,straɪk
STRING,strɪŋ
STRIP,strɪp
STRIPPED,strɪpt
striving,ˈstraɪvɪŋ
STROLLER,ˈstrəʊlə(r)
STRONG,strɒŋ
stronger,strɒŋgə
struck,strʌk
STRUCTURE,ˈstrʌktʃə(r)
STRUCTURED,ˈstrʌktʃə(r)d
STRUGGLE,ˈstrʌɡ(ə)l
STRUGGLING,ˈstrʌɡ(ə)lɪŋ
stuck,stʌk
STUDENT,ˈstjuːd(ə)nt
STUDIED,ˈstʌdid
studies,stʌdɪz
STUDY,ˈstʌdi
STUFFING,ˈstʌfɪŋ
STUMBLE,ˈstʌmb(ə)l
stumbled,stʌmbəld
STUNNING,ˈstʌnɪŋ
STURDY,ˈstɜː(r)di
Sturmhond,@Sturmhond
style,staɪl
SUBDUED,səbˈdjuːd
SUBJECT,ˈsʌbdʒɪkt
SUBMIT,səbˈmɪt
SUBORDINATE,səˈbɔː(r)dɪnət
SUBPOENA,səˈpiːnə
SUBSCRIBE,səbˈskraɪb
SUBSCRIBER,səbˈskraɪbə(r)
subsequent,sʌbsɪkwənt
SUBSIDE,səbˈsaɪd
SUBSIDIARY,səbˈsɪdiəri
SUBSIDIZE,ˈsʌbsɪdaɪz
SUBSIDY,ˈsʌbsədi
SUBSUME,səbˈsjuːm
SUBTRACT,səbˈtrækt
SUBURB,ˈsʌbɜː(r)b
SUCCEED,səkˈsiːd
SUCCEEDING,səkˈsiːdɪŋ
SUCCESS,səkˈses
succumb,səkʌm
such,sʌtʃ
suck,sʌk
sucking,@sucking
sucks,sʌks
sudden,sʌdən
suddenly,sʌdənlɪ
SUE,suː
SUFFER,ˈsʌfə(r)
SUFFERING,ˈsʌfərɪŋ
SUFFOCATE,ˈsʌfəkeɪt
SUGGEST,səˈdʒest
SUGGESTION,səˈdʒestʃ(ə)n
SUIT,suːt
suitable,suːtəbəl
SUITED,ˈsuːtɪd
SUITOR,ˈsuːtə(r)
SUM,sʌm
summon,sʌmən
SUNNY,ˈsʌni
SUPERMARKET,ˈsuːpə(r)ˌmɑː(r)kɪt
SUPERTANKER,ˈsuːpə(r)ˌtæŋkə(r)
SUPERVISE,ˈsuːpə(r)vaɪz
supper,sʌpə
SUPPLANT,səˈplɑːnt
SUPPLEMENT,ˈsʌplɪment
SUPPLIER,səˈplaɪə(r)
SUPPLY,səˈplaɪ
SUPPORT,səˈpɔː(r)t
SUPPORTER,səˈpɔː(r)tə(r)
SUPPORTING,səˈpɔː(r)tɪŋ
SUPPOSED,səˈpəʊzd
SUPPRESS,səˈpres
sure,ʃɔ:
surely,ʃʊə(r)li
SURGE,sɜː(r)dʒ
SURPASS,sə(r)ˈpɑːs
SURPASSING,sə(r)ˈpɑːsɪŋ
SURPRISE,sə(r)ˈpraɪz
SURPRISED,sə(r)ˈpraɪzd
SURRENDER,səˈrendə(r)
SURROUNDING,səˈraʊndɪŋ
SURVEY,ˈsɜː(r)veɪ
SURVIVE,sə(r)ˈvaɪv
SURVIVING,sə(r)ˈvaɪvɪŋ
SUSPECTED,səˈspektɪd
SUSPEND,səˈspend
suspension,səspenʃən
SUSPICION,səˈspɪʃ(ə)n
SUSTAINED,səˈsteɪnd
SWAMP,swɒmp
SWAP,swɒp
sway,sweɪ
sweat,swet
SWEEP,swiːp
SWEEPING,ˈswiːpɪŋ
SWEET,swiːt
SWELL,swel
SWELLING,ˈswelɪŋ
swept,swept
swifter,ˈswɪftə
swimming,swɪmɪŋ
swindle,swɪndəl
SWING,swɪŋ
SWINGING,ˈswɪŋɪŋ
swiss,swɪs
SWITCH,swɪtʃ
SWITCHED,ˌswɪtʃt ˈɒn
SWOLLEN,ˈswəʊlən
SWOOP,swuːp
SWORN,swɔː(r)n
swung,swʌŋ
symbol,sɪmbəl
sympathetic,sɪmpəθetɪk
SYMPATHY,ˈsɪmpəθi
SYMPTOM,ˈsɪmptəm
SYNDICATE,ˈsɪndɪkət
SYNERGY,ˈsɪnə(r)dʒi
SYSTEM,ˈsɪstəm
TABLE,ˈteɪb(ə)l
TABLET,ˈtæblət
TABLOID,ˈtæblɔɪd
TACKLING,tæklɪŋ
TACTIC,ˈtæktɪk
TAG,tæɡ
TAIL,teɪl
TAILOR,ˈteɪlə(r)
TAILORED,ˈteɪlə(r)d
TAILWIND,ˈteɪlˌwɪnd
TAKE,teɪk
TAKEN,ˈteɪkən
TAKEOVER,ˈteɪkˌəʊvə(r)
taking,ˈteɪkɪŋ
TALK,tɔːk
talking,tɔ:kɪŋ
tall,tɔ:l
TAMPER,ˈtæmpə(r)
TANK,tæŋk
TAP,tæp
tape,teɪp
TAPER,ˈteɪpə(r)
tapping,ˈtæpɪŋˈtæpɪŋˈtæpɪŋ
TARGET,ˈtɑː(r)ɡɪt
TARIFF,ˈtærɪf
TARNISH,ˈtɑː(r)nɪʃ
TASK,tɑːsk
taste,teɪst
TATTOO,tæˈtuː
TAX,tæks
TAXIS,tæksɪz
TAXPAYER,ˈtæksˌpeɪə(r)
TEACH,tiːtʃ
TEACHER,ˈtiːtʃə(r)
TEACHING,ˈtiːtʃɪŋ
TEAM,tiːm
TEAMMATE,ˈtiːmˌmeɪt
TEAR,teə(r)
tearing,tɪəɪŋ
tears,tɪəz
teary,ˈtɪərɪ
teasing,tiːzɪŋ
TECHNIQUE,tekˈniːk
TECHNOLOGY,tekˈnɒlədʒi
TEENAGER,ˈtiːnˌeɪdʒə(r)
teeth,ti:θ
tel aviv,ˈtɛl
TELECOMMUNICATIONS,ˌtelikəˌmjuːnɪˈkeɪʃ(ə)nz
TELEGRAPH,ˈtelɪˌɡrɑːf
TELEPHONE,ˈtelɪˌfəʊn
TELEVISE,ˈtelɪvaɪz
TELEVISION,ˈtelɪˌvɪʒ(ə)n
TELL,tel
TELLING,ˈtelɪŋ
temerity,tɪmerɪti
TEMPER,ˈtempə(r)
TEMPERATURE,ˈtemprɪtʃə(r)
tempting,temptɪŋ
TEN,ten
TENANT,ˈtenənt
TEND,tend
TENDER,ˈtendə(r)
TENEMENT,ˈtenəmənt
TENOR,ˈtenə(r)
TENSION,ˈtenʃ(ə)n
TERM,tɜː(r)m
TERMINATE,ˈtɜː(r)mɪneɪt
terrible,terəbəl
terrified,ˈtɛrɪˌfaɪdˈtɛrɪˌfaɪd
terror,terə
TEST,test
TESTING,ˈtestɪŋ
teutonic,tjuːtɒnɪk
TEXTBOOK,ˈteks(t)ˌbʊk
TEXTILE,ˈtekstaɪl
than,ðæn
Thank,θæŋk
THANKS,θæŋks
that,ðæt
the,ðə
THEATER,ˈθɪətə(r)
thee,ðiː
their,ðeə
them,ðem
themselves,ðəm'selvz
then,ðen
theological,ˌθɪəˈlɒdʒɪkəl
THEORY,ˈθɪəri
THERAPY,ˈθerəpi
there,ðə(r)
therefore,ðeə(r)fɔːʳ
thereon,ðeərɒn
Theres,@Theres
THERMOSTAT,ˈθɜː(r)məʊstæt
these,ðiːz
they,ðeɪ
theyd,@theyd
Theyre,@Theyre
thicken,θɪkən
THIEF,θiːf
thin,θɪn
THING,θɪŋ
things,θɪŋz
THINK,θɪŋk
THINKING,ˈθɪŋkɪŋ
third,θɜː(r)d
Thirty,θɜ:tɪ
this,ðɪs
thong,θɒŋ
thorough,θʌrə
those,ðəʊz
though,ðoʊ
THOUGHT,θɔːt
THOUSAND,ˈθaʊz(ə)nd
THREAT,θret
THREATEN,ˈθret(ə)n
threatened,θretənd
THREATENING,ˈθret(ə)nɪŋ
three,θri:
THRESHOLD,ˈθreʃˌhəʊld
threw,θru:
throat,θrəʊt
throb,θrɒb
throne,θrəʊn
Through,θru:
throughout,θruːaʊt
THROW,θrəʊ
THROWN,θrəʊn
thrust,θrʌst
thrusting,ˈθrʌstɪŋ
thug,θʌg
thus,ðʌs
TICKER,ˈtɪkə(r)
TICKET,ˈtɪkɪt
TIDY,ˈtaɪdi
TIE,taɪ
TIED,taɪd
TIGHT,taɪt
TIGHTEN,ˈtaɪt(ə)n
till,tɪl
TILT,tɪlt
time,taɪm
TIMES,taɪmz
TIMING,ˈtaɪmɪŋ
tiny,taɪnɪ
TIP,tɪp
TIPPED,tɪpt
tissue,tɪʃuː
TITLED,ˈtaɪt(ə)ld
to,tu:
today,tə'deɪ
together,tə'geðə
told,təʊld
TOLERATE,ˈtɒləreɪt
tom,tɒm
tomb,tuːm
TOMBSTONE,ˈtuːmˌstəʊn
tomorrow,tə'mɒrəʊ
TON,tʌn
tone,təʊn
tongue,tʌŋ
tonight,tə'naɪt
TONS,tʌnz
too,tu:
TOOK,tʊk
TOOL,tuːl
TOOTH,tuːθ
TOOTHBRUSH,ˈtuːθˌbrʌʃ
TOOTHPICK,ˈtuːθˌpɪk
TOP,tɒp
TOPIC,ˈtɒpɪk
TOPPING,ˈtɒpɪŋ
torch,tɔː(r)tʃ
torment,@torment
torn,tɔː(r)n
torture,tɔː(r)tʃəʳ
toss,tɒs
TOTAL,ˈtəʊt(ə)l
TOTALED,ˈtəʊt(ə)ld
TOTALING,ˈtəʊt(ə)lɪŋ
touch,tʌtʃ
TOUCHED,tʌtʃt
TOUCHING,ˈtʌtʃɪŋ
TOUGH,tʌf
TOURIST,ˈtʊərɪst
TOUT,taʊt
toward,tə'wɔ:d
towards,tə'wɔ:dz
TOWER,ˈtaʊə(r)
TOWERING,ˈtaʊərɪŋ
TOWN,taʊn
TOY,tɔɪ
TRACE,treɪs
TRACK,træk
TRACKING,ˈtrækɪŋ
TRADE,treɪd
TRADER,ˈtreɪdə(r)
TRADING,ˈtreɪdɪŋ
tradition,trədɪʃən
TRAIL,treɪl
trailed,@trailed
TRAILING,ˈtreɪlɪŋ
train,treɪn
TRAINING,ˈtreɪnɪŋ
TRANSACT,trænˈzækt
TRANSACTION,trænˈzækʃ(ə)n
TRANSCRIPT,ˈtrænˌskrɪpt
TRANSFER,trænsˈfɜː(r)
TRANSFORM,trænsˈfɔː(r)m
TRANSGRESSION,@TRANSGRESSION
TRANSLATE,trænsˈleɪt
TRANSMIT,trænzˈmɪt
TRANSMITTER,trænzˈmɪtə(r)
transparent,trænspærənt
TRAP,træp
TRAVELED,ˈtræv(ə)ld
TRAVELING,ˈtræv(ə)liŋ
TREAD,tred
TREAT,triːt
TREATMENT,ˈtriːtmənt
treaty,triːti
TREE,triː
TREMBLE,ˈtremb(ə)l
TREND,trend
TRENDING,ˈtrendɪŋ
tried,traɪd
TRIGGER,ˈtrɪɡə(r)
TRILLION,ˈtrɪljən
TRIM,trɪm
TRIP,trɪp
TRIPLE,ˈtrɪp(ə)l
triumvirate,traɪʌmvɪrət
TROOP,truːp
TROUBLE,ˈtrʌb(ə)l
TROUBLED,ˈtrʌb(ə)ld
TROUBLING,ˈtrʌb(ə)lɪŋ
TROUSERS,ˈtraʊzə(r)z
TRUCK,trʌk
TRUE,truː
truly,truːli
TRUMPET,ˈtrʌmpɪt
TRUST,trʌst
truth,truːθ
TRY,traɪ
TRYING,ˈtraɪɪŋ
tube,tjuːb
TUMBLE,ˈtʌmb(ə)l
TUNA,ˈtjuːnə
